car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
Q48,24682.94,30859.67,"24682.94, 30859.67","1.2953521090703273,103.80351335778144",1.2953521090703273,103.80351335778144,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
Q49,24600.43,30852.65,"24600.43, 30852.65","1.2952886140791764,103.8027719705082",1.2952886140791764,103.8027719705082,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q5A,24644.4805,30393.2754,"24644.4805, 30393.2754","1.2911342166287456,103.80316783233692",1.2911342166287456,103.80316783233692,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
Q5S,24530.9034,30353.3466,"24530.9034, 30353.3466","1.2907731039570463,103.80214729906265",1.2907731039570463,103.80214729906265,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
Q51,24187.6,31144.34,"24187.6, 31144.34","1.2979264951640106,103.79906247911633",1.2979264951640106,103.79906247911633,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q52,24170.85,31017.51,"24170.85, 31017.51","1.2967794928280014,103.79891198847758",1.2967794928280014,103.79891198847758,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q55,23894.27,31228,"23894.27, 31228","1.2986830457144187,103.79642676871738",1.2986830457144187,103.79642676871738,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,4.5,N
Q57,24136.64,31357.44,"24136.64, 31357.44","1.2998536808337176,103.79860455472549",1.2998536808337176,103.79860455472549,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
Q58,24031.02,31382.8,"24031.02, 31382.8","1.300083013306787,103.79765550849802",1.300083013306787,103.79765550849802,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,NO,NO,0,0,N
Q59,24023.14,31476.19,"24023.14, 31476.19","1.3009275944314216,103.79758469127947",1.3009275944314216,103.79758469127947,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
Q65,24153.2643,31983.7356,"24153.2643, 31983.7356","1.3055176519605836,103.79875385429469",1.3055176519605836,103.79875385429469,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
Q65A,24418.636,32156.675,"24418.636, 32156.675","1.307081679174813,103.80113832334601",1.307081679174813,103.80113832334601,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
Q66,24236.01,32114.32,"24236.01, 32114.32","1.3066986156503055,103.79949734734551",1.3066986156503055,103.79949734734551,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
Q67,24352.42,32166.07,"24352.42, 32166.07","1.3071666360814476,103.8005433401119",1.3071666360814476,103.8005433401119,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
Q68,24181.18,32133.41,"24181.18, 32133.41","1.306871251309033,103.79900467155679",1.306871251309033,103.79900467155679,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N
Q70,24353.0804,32185.228,"24353.0804, 32185.228","1.3073398935116776,103.80054927187182",1.3073398935116776,103.80054927187182,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N
Q72,24391.78,32090.9,"24391.78, 32090.9","1.3064868330378547,103.80089701709214",1.3064868330378547,103.80089701709214,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
Q73,24335.5387,32064.3962,"24335.5387, 32064.3962","1.3062471365666468,103.80039166560691",1.3062471365666468,103.80039166560691,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,0,N
Q75M,23590.6968,32292.0387,"23590.6968, 32292.0387","1.3083057476213742,103.79369887844098",1.3083057476213742,103.79369887844098,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
Q77M,23403.3645,32654.8683,"23403.3645, 32654.8683","1.3115870068787412,103.79201555455916",1.3115870068787412,103.79201555455916,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,12,2.15,N
Q8,24244.0036,30732.3137,"24244.0036, 30732.3137","1.294200299318007,103.79956933969551",1.294200299318007,103.79956933969551,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-7PM,NO,NO,0,4.5,N
Q80,23479.7213,32316.8703,"23479.7213, 32316.8703","1.3085302986885803,103.79270170698389",1.3085302986885803,103.79270170698389,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
Q81,23531.2041,32206.3235,"23531.2041, 32206.3235","1.307530564867755,103.7931643204548",1.307530564867755,103.7931643204548,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,9.99,N
Q84,23921.707,32122.75,"23921.707, 32122.75","1.3067748133466328,103.7966731853827",1.3067748133466328,103.7966731853827,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,4.5,N
Q85,23406.71,32283.49,"23406.71, 32283.49","1.3082284097494918,103.79204567048343",1.3082284097494918,103.79204567048343,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
