car_park_no,x_coord,y_coord,xy_coord,LatLng,Latitude,Longitude,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement
ACB,30314.7936,31490.4942,"30314.7936, 31490.4942","1.3010571246531804,103.85411804988033",1.3010571246531804,103.85411804988033,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,1.8,Y
ACM,33758.4143,33695.5198,"33758.4143, 33695.5198","1.3209980485169983,103.88506094748588",1.3209980485169983,103.88506094748588,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,5,2.1,N
AH1,29257.7203,34500.3599,"29257.7203, 34500.3599","1.3282772191512717,103.84461988911718",1.3282772191512717,103.84461988911718,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
AK19,28185.4359,39012.6664,"28185.4359, 39012.6664","1.3690847475169592,103.83498485033613",1.3690847475169592,103.83498485033613,SURFACE CAR PARK,COUPON PARKING,7AM-7PM,NO,NO,0,0,N
AK31,29482.029,38684.1754,"29482.029, 38684.1754","1.3661139697165128,103.84663563158024",1.3661139697165128,103.84663563158024,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK52,29889.3457,39382.8134,"29889.3457, 39382.8134","1.3724321490118094,103.85029569737912",1.3724321490118094,103.85029569737912,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
AK6,29283.7324,39647.8906,"29283.7324, 39647.8906","1.3748294337048514,103.84485384153025",1.3748294337048514,103.84485384153025,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AK83,31397.2241,39851.6191,"31397.2241, 39851.6191","1.3766717042359575,103.86384511302414",1.3766717042359575,103.86384511302414,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AK9,29674.8184,40616.875,"29674.8184, 40616.875","1.3835925205347106,103.84836808661225",1.3835925205347106,103.84836808661225,SURFACE CAR PARK,COUPON PARKING,NO,NO,NO,0,0,N
AM16,28267.0582,39151.8344,"28267.0582, 39151.8344","1.3703433266449656,103.83571828515038",1.3703433266449656,103.83571828515038,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N
AM18,29257.6457,38619.9953,"29257.6457, 38619.9953","1.3655335609257098,103.84461939018905",1.3655335609257098,103.84461939018905,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,3,2.15,N
AM19,28134.9305,38989.9965,"28134.9305, 38989.9965","1.3688797302752893,103.83453102381885",1.3688797302752893,103.83453102381885,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,2.15,N
AM20,29421.1502,38526.8611,"29421.1502, 38526.8611","1.3646912850531763,103.8460885860836",1.3646912850531763,103.8460885860836,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM22,29595.2539,38514.7606,"29595.2539, 38514.7606","1.3645818441078843,103.84765302631412",1.3645818441078843,103.84765302631412,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM32,28117.7689,39172.0389,"28117.7689, 39172.0389","1.3705260490297508,103.8343768155404",1.3705260490297508,103.8343768155404,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N
AM43,30669.2379,38959.5487,"30669.2379, 38959.5487","1.3686042523139272,103.85730354660322",1.3686042523139272,103.85730354660322,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AM46,30234.4145,39354.0323,"30234.4145, 39354.0323","1.3721718401219387,103.85339638436204",1.3721718401219387,103.85339638436204,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,5,2.15,N
AM51,29489.025,39103.7605,"29489.025, 39103.7605","1.3699085292029851,103.8466985164609",1.3699085292029851,103.8466985164609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM64,30201.236,39274.274,"30201.236, 39274.274","1.3714505404986406,103.85309824600402",1.3714505404986406,103.85309824600402,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM79,30004.2224,39370.6063,"30004.2224, 39370.6063","1.3723217452972263,103.8513279455999",1.3723217452972263,103.8513279455999,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AM80,28950.7223,39184.6976,"28950.7223, 39184.6976","1.3706405141998217,103.8418614904597",1.3706405141998217,103.8418614904597,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM81,28960.3285,39294.4158,"28960.3285, 39294.4158","1.3716327613995096,103.84194781250082",1.3716327613995096,103.84194781250082,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,4,2.15,N
AM96,29961.0968,38457.9118,"29961.0968, 38457.9118","1.364067704338975,103.85094037118178",1.364067704338975,103.85094037118178,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR1L,22359.0217,31801.6379,"22359.0217, 31801.6379","1.303870557805835,103.7826317793266",1.303870557805835,103.7826317793266,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
AR1M,22474.205,31687.9608,"22474.205, 31687.9608","1.3028425281562874,103.78366677444374",1.3028425281562874,103.78366677444374,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2.15,N
AR2L,22194.6359,32026.8288,"22194.6359, 32026.8288","1.305907064127766,103.78115465530085",1.305907064127766,103.78115465530085,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR2M,22252.486,31896.9749,"22252.486, 31896.9749","1.3047327280408585,103.78167448945038",1.3047327280408585,103.78167448945038,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,16,2.15,N
AR5M,22562.8641,32184.9758,"22562.8641, 32184.9758","1.3073373495053553,103.78446333020358",1.3073373495053553,103.78446333020358,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
AR7L,22688.3753,32015.1518,"22688.3753, 32015.1518","1.3058015507256304,103.78559113668659",1.3058015507256304,103.78559113668659,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,0,N
AR7M,22643.9533,31900.5591,"22643.9533, 31900.5591","1.3047652123251159,103.78519200395596",1.3047652123251159,103.78519200395596,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N
AR9,22448.9368,32178.436,"22448.9368, 32178.436","1.307278185901079,103.7834396407172",1.307278185901079,103.7834396407172,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
AV1,24649.752,29778.7266,"24649.752, 29778.7266","1.2855764806546595,103.80321526423005",1.2855764806546595,103.80321526423005,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
AV2,24941.5778,29704.4978,"24941.5778, 29704.4978","1.28490521445341,103.80583744245261",1.28490521445341,103.80583744245261,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,NO,YES,0,0,N
A1,28934.1777,38749.8516,"28934.1777, 38749.8516","1.366707941370585,103.84171281188969",1.366707941370585,103.84171281188969,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A10,29247.03,38962,"29247.03, 38962","1.3686265151509038,103.84452401514662",1.3686265151509038,103.84452401514662,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A100,29033.1895,39996.3712,"29033.1895, 39996.3712","1.3779809625675006,103.84260254481683",1.3779809625675006,103.84260254481683,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,0,N
A11,28541.14,38785.36,"28541.14, 38785.36","1.3670290749358494,103.83818109683814",1.3670290749358494,103.83818109683814,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A12,28596.14,38948.38,"28596.14, 38948.38","1.3685033616001587,103.83867531322227",1.3685033616001587,103.83867531322227,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A13,28388.51,38892.03,"28388.51, 38892.03","1.3679937581755144,103.83680961187632",1.3679937581755144,103.83680961187632,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A15,28790.02,38777.85,"28790.02, 38777.85","1.3669611519062643,103.8404174559508",1.3669611519062643,103.8404174559508,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A2,29082.59,38697.07,"29082.59, 38697.07","1.366230600622661,103.84304639717358",1.366230600622661,103.84304639717358,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A20,29684.7366,38554.0251,"29684.7366, 38554.0251","1.3649369315978364,103.84845709178121",1.3649369315978364,103.84845709178121,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A21,29446.1477,38906.1139,"29446.1477, 38906.1138999999","1.368121094541954,103.84631322413617",1.368121094541954,103.84631322413617,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A23,29735.5099,38818.5301,"29735.5099, 38818.5301","1.367329006116299,103.84891334007516",1.367329006116299,103.84891334007516,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N
A24,29789.41,38533.02,"29789.41, 38533.02","1.3647469637342842,103.84939765273094",1.3647469637342842,103.84939765273094,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A25,30037.566,38313.6296,"30037.566, 38313.6296","1.3627628686491682,103.85162748922794",1.3627628686491682,103.85162748922794,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A26,28236.93,39419.47,"28236.93, 39419.47","1.372763716223162,103.83544756414109",1.372763716223162,103.83544756414109,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A27,28556.67,39153.3,"28556.67, 39153.3","1.3703565769155652,103.8383206515271",1.3703565769155652,103.8383206515271,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A28,28461.3669,39295.5961,"28461.3669, 39295.5961","1.3716434475745687,103.83746428813743",1.3716434475745687,103.83746428813743,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A29,29713.5035,38806.4544,"29713.5035, 38806.4544","1.367219799598459,103.8487155966039",1.367219799598459,103.8487155966039,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A30,29012.7631,39222.5981,"29012.7631, 39222.5981","1.3709832690981814,103.84241897217385",1.3709832690981814,103.84241897217385,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A30A,29050.5605,39137.2773,"29050.5605, 39137.2773","1.370211660590711,103.84275860554938",1.370211660590711,103.84275860554938,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A31,29155.32,39163.04,"29155.32, 39163.04","1.3704446442312594,103.84369994450473",1.3704446442312594,103.84369994450473,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A31A,29150.6699,39318.7539,"29150.6699, 39318.7539","1.371852858627569,103.84365816610769",1.371852858627569,103.84365816610769,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A33,28152.8391,39115.4784,"28152.8391, 39115.4784","1.3700145383250741,103.83469194576637",1.3700145383250741,103.83469194576637,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,4.5,N
A34,30042,38931.43,"30042, 38931.43","1.3683500080613162,103.85166737405227",1.3683500080613162,103.85166737405227,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A35,30310.66,38963.49,"30310.66, 38963.49","1.3686399260788429,103.85408147405766",1.3686399260788429,103.85408147405766,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A36,30443.9088,38715.8847,"30443.9088, 38715.8847","1.3664006721429387,103.85527878727099",1.3664006721429387,103.85527878727099,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A37,30474.8188,38904.5192,"30474.8188, 38904.5192","1.3681066044783654,103.85555655064191",1.3681066044783654,103.85555655064191,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A38,30367.0774,38445.7028,"30367.0774, 38445.7028","1.363957261385614,103.85458838265407",1.363957261385614,103.85458838265407,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A39,30309.63,38134.69,"30309.63, 38134.69","1.3611445905196966,103.85407215457914",1.3611445905196966,103.85407215457914,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A4,28876.2363,38636.7578,"28876.2363, 38636.7578","1.3656851680108122,103.84119216499671",1.3656851680108122,103.84119216499671,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A40,30633.47,38267.95,"30633.47, 38267.95","1.362349713709134,103.85698208592194",1.362349713709134,103.85698208592194,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A41,30627.96,38553.32,"30627.96, 38553.32","1.364930486292523,103.85693259998673",1.364930486292523,103.85693259998673,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A42,30675.9559,38735.0223,"30675.9559, 38735.0223","1.3665737248575247,103.85736389232888",1.3665737248575247,103.85736389232888,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A43,30887.78,38670.51,"30887.78, 38670.51","1.365990281532479,103.8592672719072",1.365990281532479,103.8592672719072,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A44,30856.9781,38804.1956,"30856.9781, 38804.1956","1.3671992835483728,103.85899050846001",1.3671992835483728,103.85899050846001,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A45,30438.53,39214.64,"30438.53, 39214.64","1.3709112158176868,103.8552304959508",1.3709112158176868,103.8552304959508,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A47,30885.475,39174.8899,"30885.475, 39174.8899","1.3705516914989533,103.85924660884118",1.3705516914989533,103.85924660884118,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A48,30374.18,39154.22,"30374.18, 39154.22","1.3703648067877532,103.85465226087261",1.3703648067877532,103.85465226087261,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A49,30724.16,39260.19,"30724.16, 39260.19","1.3713231267604278,103.85779708759803",1.3713231267604278,103.85779708759803,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A50,30703.29,39392.09,"30703.29, 39392.09","1.3725159794160295,103.85760956788747",1.3725159794160295,103.85760956788747,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A51,28117.6053,39054.6321,"28117.6053, 39054.6321","1.3694642688750298,103.83437534502013",1.3694642688750298,103.83437534502013,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,0,5.4,N
A52,29513.9566,39155.7785,"29513.9566, 39155.7785","1.370378957914387,103.84692254708125",1.370378957914387,103.84692254708125,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A52L,29426.2389,39033.615,"29426.2389, 39033.615","1.3692741644613111,103.84613433580509",1.3692741644613111,103.84613433580509,SURFACE CAR PARK,ELECTRONIC PARKING,NO,NO,NO,0,4.5,N
A53,29508.9218,39208.8091,"29508.9218, 39208.8091","1.3708585456990037,103.84687730854597",1.3708585456990037,103.84687730854597,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,1.8,N
A54,29401.8671,39382.3378,"29401.8671, 39382.3378","1.3724278750995178,103.84591535455144",1.3724278750995178,103.84591535455144,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A55,29485.5,39515.49,"29485.5, 39515.49","1.3736320461967235,103.84666686246659",1.3736320461967235,103.84666686246659,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A56,29538.847,39411.5653,"29538.847, 39411.5653","1.3726921900755653,103.84714621814597",1.3726921900755653,103.84714621814597,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A57,29518.5871,39336.4776,"29518.5871, 39336.4776","1.3720131280235994,103.84696416463379",1.3720131280235994,103.84696416463379,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A58,29603.16,39372.68,"29603.16, 39372.68","1.3723405235594783,103.8477241142699",1.3723405235594783,103.8477241142699,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A59,30762.295,39543.9937,"30762.295, 39543.9937","1.373889730100753,103.85813978403407",1.373889730100753,103.85813978403407,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,3.8,N
A60,30514.5273,39606.8281,"30514.5273, 39606.8281","1.3744580014430834,103.85591341868943",1.3744580014430834,103.85591341868943,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A61,30096.82,39574.31,"30096.82, 39574.31","1.3741639535169774,103.85216001542086",1.3741639535169774,103.85216001542086,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A63,29789.5613,39690.0448,"29789.5613, 39690.0448","1.3752106329813016,103.84939908196293",1.3752106329813016,103.84939908196293,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A64,30241.6957,39172.3075,"30241.6957, 39172.3075","1.3705283932588408,103.85346179739786",1.3705283932588408,103.85346179739786,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A65,30904.46,39226.97,"30904.46, 39226.97","1.3710226811840838,103.85941720755442",1.3710226811840838,103.85941720755442,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A66,28260.64,40279.16,"28260.64, 40279.16","1.38053840820686,103.83566062297167",1.38053840820686,103.83566062297167,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A67,28499.27,40184.22,"28499.27, 40184.22","1.379679805798177,103.83780488937641",1.379679805798177,103.83780488937641,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A68,28727.3335,40428.7342,"28727.3335, 40428.7342","1.3818910894782643,103.83985421480924",1.3818910894782643,103.83985421480924,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A69,28960.06,40400.41,"28960.06, 40400.41","1.3816349300637822,103.84194543572518",1.3816349300637822,103.84194543572518,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A7,28888.4313,38935.4059,"28888.4313, 38935.4059","1.368386021693945,103.84130175436715",1.368386021693945,103.84130175436715,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A70,28755.4887,40287.5326,"28755.4887, 40287.5326","1.3806141180829605,103.8401072067449",1.3806141180829605,103.8401072067449,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A71,28826.1219,40219.911,"28826.1219, 40219.911","1.3800025735235202,103.84074189669734",1.3800025735235202,103.84074189669734,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A72,29136.44,40303.05,"29136.44, 40303.05","1.3807544389358744,103.84353033814575",1.3807544389358744,103.84353033814575,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A73,28835.3369,40091.5441,"28835.3369, 40091.5441","1.3788416744467797,103.84082469667545",1.3788416744467797,103.84082469667545,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A74,29166.97,40069.8164,"29166.97, 40069.8164","1.3786451665204749,103.84380466369795",1.3786451665204749,103.84380466369795,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A75,28597.1669,39798.961,"28597.1669, 39798.961","1.3761956758635467,103.83868455773228",1.3761956758635467,103.83868455773228,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A76,28613.8871,39995.2242,"28613.8871, 39995.2242","1.3779706013131743,103.83883480496027",1.3779706013131743,103.83883480496027,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,9,2,N
A77,28741.1744,39815.655,"28741.1744, 39815.655","1.3763466464411869,103.83997857028054",1.3763466464411869,103.83997857028054,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A78,28564.0295,39632.2729,"28564.0295, 39632.2729","1.3746882160636036,103.83838679091959",1.3746882160636036,103.83838679091959,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A8,29111.67,38975.61,"29111.67, 38975.61","1.3687496039489282,103.84330771143998",1.3687496039489282,103.84330771143998,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A81,28351.6931,39594.7701,"28351.6931, 39594.7701","1.3743490590449985,103.83647879467208",1.3743490590449985,103.83647879467208,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,9.99,N
A82,28342.7741,39740.6593,"28342.7741, 39740.6593","1.3756684226852887,103.83639865271411",1.3756684226852887,103.83639865271411,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A83,31046.8301,39589.4805,"31046.8301, 39589.4805","1.3743010663825168,103.8606965408369",1.3743010663825168,103.8606965408369,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A85,29824.1,38572.16,"29824.1, 38572.16","1.3651009281297948,103.8497093685159",1.3651009281297948,103.8497093685159,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A86,30582.1,38215.84,"30582.1, 38215.84","1.3618784562269708,103.85652048728856",1.3618784562269708,103.85652048728856,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A87,30733.8638,38762.2439,"30733.8638, 38762.2439","1.366819900812711,103.85788423730702",1.366819900812711,103.85788423730702,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,0,N
A88,29552.24,38701.9,"29552.24, 38701.9","1.3662742603143292,103.84726652675234",1.3662742603143292,103.84726652675234,SURFACE CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A89,28673.21,39163.93,"28673.21, 39163.93","1.37045270796011,103.83936784589189",1.37045270796011,103.83936784589189,SURFACE CAR PARK,COUPON PARKING,7AM-10.30PM,SUN & PH FR 7AM-10.30PM,NO,0,0,N
A9,29232.3606,38900.2315,"29232.3606, 38900.2315","1.3680679061522913,103.8443921977759",1.3680679061522913,103.8443921977759,SURFACE CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,4.5,N
A90,28882.3578,40440.1317,"28882.3578, 40440.1317","1.3819941596407535,103.84124722454948",1.3819941596407535,103.84124722454948,SURFACE CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,0,5.4,N
A94,28556.1477,39318.8058,"28556.1477, 39318.8058","1.3718533451855361,103.83831596138769",1.3718533451855361,103.83831596138769,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N
A95,29612.0323,38838.7824,"29612.0323, 38838.7824","1.3675121668057153,103.84780380924177",1.3675121668057153,103.84780380924177,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N
